"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00368449","STATE COLLEGE, PA US","40.79326","-77.86712","356.6","2016-05-16","0.13",",,7,0700","0.0","T,,7,","0.0",",,7,","46",",,7","38",",,7","43",",,7,0700",,,,,,,,,,,,,,
"USC00368449","STATE COLLEGE, PA US","40.79326","-77.86712","356.6","2016-05-17","0.00","T,,7,0700","0.0",",,7,","0.0",",,7,","62",",,7","43",",,7","53",",,7,0700",,,,,,,,,,,,,,
"USC00368449","STATE COLLEGE, PA US","40.79326","-77.86712","356.6","2016-05-18","0.04",",,7,0700","0.0",",,7,","0.0",",,7,","62",",,7","50",",,7","52",",,7,0700","0.0",",,7",,,,,,,,,,,,
"USC00368449","STATE COLLEGE, PA US","40.79326","-77.86712","356.6","2016-05-19","0.00","T,,7,0700","0.0",",,7,","0.0",",,7,","59",",,7","41",",,7","46",",,7,0700","0.0",",,7",,,,,,,,,,,,
"USC00368449","STATE COLLEGE, PA US","40.79326","-77.86712","356.6","2016-05-20","0.00",",,7,0700","0.0",",,7,","0.0",",,7,","67",",,7","44",",,7","49",",,7,0700","0.0",",,7",,,,,,,,,,,,
"USC00368449","STATE COLLEGE, PA US","40.79326","-77.86712","356.6","2016-05-21","0.24",",,7,0700","0.0",",,7,","0.0",",,7,","71",",,7","49",",,7","53",",,7,0700","0.0",",,7",,,,,,,,,,,,
"USC00368449","STATE COLLEGE, PA US","40.79326","-77.86712","356.6","2016-05-22","0.79",",,7,0700","0.0",",,7,","0.0",",,7,","53",",,7","48",",,7","51",",,7,0700","0.0",",,7","    1",",,7",,,,,,,,,,
"USC00368449","STATE COLLEGE, PA US","40.79326","-77.86712","356.6","2016-05-23","0.27",",,7,0700","0.0",",,7,","0.0",",,7,","57",",,7","50",",,7","52",",,7,0700","0.0",",,7","    1",",,7",,,,,,,,,,
"USC00368449","STATE COLLEGE, PA US","40.79326","-77.86712","356.6","2016-05-24","0.00",",,7,0700","0.0",",,7,","0.0",",,7,","72",",,7","52",",,7","58",",,7,0700",,,,,,,,,,,,,,
"USC00368449","STATE COLLEGE, PA US","40.79326","-77.86712","356.6","2016-05-25","0.00",",,7,0700","0.0",",,7,","0.0",",,7,","78",",,7","53",",,7","61",",,7,0700",,,,,,,,,,,,,,
